"","year","id","race","sex","age","region","childhoodFamIncome","highestDegree","spouseHighestDegree","householdSize","currentFamIncome","hrsUsuallyWork","hrsSpouseUsuallyWork","maritalStatus","numChildren","afraidWalkNightNeighborhood","troubleSleeping","jobSatisfaction","jobStressful","happiness","health","hrsEmailPerWeek","hrsWWWperWeek"
"451",2018,451,"Black","Male",46,"Pacific","Below average","High school","",4,"$25000 or more",NA,NA,"Never married",4,"Yes","Sometimes","Somewhat satisfied","Hardly ever","Pretty happy","Excellent",4,4
"452",2018,452,"White","Female",29,"Pacific","Below average","Bachelor","Junior college",2,"$25000 or more",NA,NA,"Married",0,"Yes","","","No issp","Pretty happy","Good",NA,NA
"453",2018,453,"Other","Female",83,"Pacific","Average","Lt high school","",2,"$25000 or more",NA,NA,"Widowed",4,"","","","No issp","Very happy","",NA,NA
"454",2018,454,"White","Female",33,"Pacific","Below average","Bachelor","",2,"Refused",NA,NA,"Never married",0,"Yes","Rarely","Very satisfied","Often","Very happy","Excellent",NA,NA
"455",2018,455,"Black","Female",46,"Pacific","Average","Graduate","",3,"$25000 or more",NA,NA,"Divorced",3,"Yes","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Excellent",40,10
"456",2018,456,"Other","Male",19,"Pacific","Average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"Yes","","","No issp","Very happy","Good",1,10
"457",2018,457,"Black","Male",65,"Pacific","Average","Bachelor","",3,"$25000 or more",NA,NA,"Separated",5,"No","","","No issp","Pretty happy","Fair",NA,NA
"458",2018,458,"Other","Female",37,"Pacific","Below average","High school","High school",7,"Refused",NA,NA,"Married",1,"Yes","","","No issp","Very happy","Good",NA,NA
"459",2018,459,"White","Female",64,"Pacific","Average","High school","High school",3,"$25000 or more",NA,NA,"Married",2,"Yes","","","No issp","Pretty happy","Poor",2,14
"460",2018,460,"White","Female",22,"Pacific","Average","Junior college","High school",2,"$25000 or more",NA,NA,"Married",0,"","Never","Not at all satisfied","Never","Pretty happy","",0,16
"461",2018,461,"White","Male",28,"Pacific","Above average","Bachelor","High school",2,"$25000 or more",NA,NA,"Married",0,"No","Rarely","Very satisfied","Hardly ever","Pretty happy","Excellent",NA,NA
"462",2018,462,"Other","Female",24,"Pacific","Above average","Bachelor","",2,"$25000 or more",NA,NA,"Never married",0,"Yes","Sometimes","Somewhat satisfied","Sometimes","Very happy","Good",NA,NA
"463",2018,463,"White","Male",43,"Pacific","Average","Junior college","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Fair",NA,NA
"464",2018,464,"White","Male",32,"Pacific","Above average","Bachelor","",3,"$25000 or more",NA,NA,"Never married",1,"","Rarely","Somewhat satisfied","Sometimes","Pretty happy","",2,10
"465",2018,465,"White","Female",76,"Pacific","Average","Bachelor","Graduate",2,"Refused",NA,NA,"Married",3,"No","","","No issp","Very happy","Good",1,3
"466",2018,466,"White","Female",21,"Pacific","Average","High school","",7,"$25000 or more",NA,NA,"Never married",0,"Yes","Never","Somewhat satisfied","Sometimes","Not too happy","Excellent",NA,NA
"467",2018,467,"Other","Female",48,"Pacific","Average","Junior college","High school",4,"$25000 or more",NA,NA,"Married",2,"","Sometimes","Somewhat satisfied","Often","Pretty happy","",20,10
"468",2018,468,"White","Male",76,"Pacific","Average","High school","High school",2,"Refused",NA,NA,"Married",2,"","","","No issp","Pretty happy","",6,2
"469",2018,469,"White","Female",55,"Pacific","Above average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",0,"No","Never","Very satisfied","Hardly ever","Pretty happy","Excellent",4,8
"470",2018,470,"White","Female",70,"Pacific","Average","High school","",1,"$25000 or more",NA,NA,"Divorced",1,"","Sometimes","Very satisfied","Hardly ever","Pretty happy","",25,3
"471",2018,471,"White","Female",66,"Pacific","Average","Graduate","",1,"$25000 or more",NA,NA,"Divorced",3,"No","","","No issp","Not too happy","Good",0,0
"472",2018,472,"Other","Female",37,"Pacific","Far below average","Graduate","",5,"$25000 or more",NA,NA,"Divorced",1,"No","Sometimes","Very satisfied","Hardly ever","Pretty happy","Good",NA,NA
"473",2018,473,"White","Female",70,"Pacific","Average","Graduate","Bachelor",2,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Pretty happy","Good",12,5
"474",2018,474,"White","Male",43,"Pacific","Average","Graduate","Graduate",2,"$25000 or more",NA,NA,"Married",0,"No","Often","Very satisfied","Often","Pretty happy","Good",NA,NA
"475",2018,475,"Other","Female",19,"Pacific","Below average","Lt high school","",4,"$8000 to 9999",NA,NA,"Never married",1,"No","","","No issp","Pretty happy","Excellent",NA,NA
"476",2018,476,"White","Male",70,"Pacific","Below average","High school","Bachelor",2,"$25000 or more",NA,NA,"Married",3,"","","","No issp","Very happy","",8,15
"477",2018,477,"White","Female",40,"W. sou. central","Below average","Graduate","High school",2,"$25000 or more",NA,NA,"Married",0,"No","Never","Somewhat satisfied","Often","Pretty happy","Fair",NA,NA
"478",2018,478,"Other","Male",59,"W. sou. central","Don't know","Bachelor","Bachelor",3,"$25000 or more",NA,NA,"Married",2,"","Sometimes","Very satisfied","Sometimes","Not too happy","",2,7
"479",2018,479,"White","Female",70,"W. sou. central","Average","High school","Bachelor",3,"$25000 or more",NA,NA,"Married",3,"No","","","No issp","Not too happy","Excellent",1,0
"480",2018,480,"White","Male",31,"W. sou. central","Average","High school","",3,"$25000 or more",NA,NA,"Never married",0,"No","Often","Somewhat satisfied","Often","Not too happy","Fair",NA,NA
"481",2018,481,"Other","Female",51,"W. sou. central","Average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"","Often","Somewhat satisfied","Sometimes","Pretty happy","",7,7
"482",2018,482,"Black","Female",32,"W. sou. central","Average","High school","High school",2,"$25000 or more",NA,NA,"Married",0,"","Sometimes","Very satisfied","Hardly ever","Pretty happy","",10,25
"483",2018,483,"White","Female",60,"W. sou. central","Below average","High school","High school",3,"Refused",NA,NA,"Married",2,"No","","","No issp","Very happy","Fair",5,20
"484",2018,484,"White","Male",27,"W. sou. central","Average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","Often","Not too satisfied","Always","Pretty happy","Fair",NA,NA
"485",2018,485,"White","Male",NA,"W. sou. central","Below average","Bachelor","",1,"$25000 or more",NA,NA,"Widowed",2,"No","","","No issp","Very happy","Good",0,2
"486",2018,486,"Black","Female",50,"W. sou. central","Above average","High school","",4,"$20000 - 24999",NA,NA,"Divorced",5,"Yes","","","No issp","Not too happy","Poor",NA,NA
"487",2018,487,"Black","Female",44,"W. sou. central","Average","Bachelor","",5,"$25000 or more",NA,NA,"Never married",6,"No","Often","Very satisfied","Sometimes","Pretty happy","Excellent",1,0
"488",2018,488,"White","Female",85,"W. sou. central","Don't know","High school","",1,"$25000 or more",NA,NA,"Widowed",4,"","","","No issp","Pretty happy","",0,NA
"489",2018,489,"White","Male",33,"W. sou. central","Below average","Lt high school","High school",5,"$25000 or more",NA,NA,"Married",3,"","Rarely","Very satisfied","Often","Very happy","",0,100
"490",2018,490,"White","Female",31,"W. sou. central","Average","High school","",3,"Refused",NA,NA,"Never married",1,"Yes","","","No issp","Not too happy","Good",NA,NA
"491",2018,491,"White","Female",46,"W. sou. central","Average","Bachelor","High school",2,"Refused",NA,NA,"Married",2,"","Never","Very satisfied","Often","Very happy","",50,12
"492",2018,492,"White","Male",72,"W. sou. central","Above average","Graduate","Graduate",2,"Refused",NA,NA,"Married",3,"No","Sometimes","Very satisfied","Sometimes","Very happy","Excellent",NA,NA
"493",2018,493,"White","Female",50,"W. sou. central","Above average","Graduate","",3,"Refused",NA,NA,"Divorced",2,"Yes","Sometimes","Very satisfied","Hardly ever","Pretty happy","Excellent",NA,NA
"494",2018,494,"White","Male",66,"W. sou. central","Average","Graduate","Bachelor",2,"Refused",NA,NA,"Married",2,"No","","","No issp","Very happy","Excellent",NA,NA
"495",2018,495,"White","Female",35,"W. sou. central","Above average","Bachelor","",1,"$25000 or more",NA,NA,"Never married",0,"No","Often","Somewhat satisfied","Often","Pretty happy","Excellent",NA,NA
"496",2018,496,"Black","Female",35,"W. sou. central","Average","Lt high school","",3,"$15000 - 19999",NA,NA,"Never married",2,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Fair",70,70
"497",2018,497,"Black","Female",33,"W. sou. central","Far below average","High school","",3,"$25000 or more",NA,NA,"Never married",1,"No","Sometimes","Very satisfied","Never","Very happy","Excellent",NA,NA
"498",2018,498,"White","Female",66,"W. sou. central","Below average","Lt high school","",1,"$3000 to 3999",NA,NA,"Separated",5,"Yes","","","No issp","Pretty happy","Fair",NA,NA
"499",2018,499,"White","Male",53,"W. sou. central","Below average","Lt high school","Lt high school",3,"$20000 - 24999",NA,NA,"Married",5,"","Never","Very satisfied","Never","Very happy","",0,NA
"500",2018,500,"Black","Female",37,"W. sou. central","Far below average","Bachelor","Graduate",2,"$25000 or more",NA,NA,"Married",4,"No","","","No issp","Not too happy","Excellent",1,35
"501",2018,501,"White","Male",33,"W. sou. central","Average","High school","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"","Often","Somewhat satisfied","Sometimes","Pretty happy","",1,20
"502",2018,502,"Black","Male",28,"W. sou. central","Average","Bachelor","Bachelor",4,"$25000 or more",NA,NA,"Married",2,"No","Never","Very satisfied","Never","Very happy","Excellent",8,30
"503",2018,503,"White","Female",30,"W. sou. central","Below average","Bachelor","Bachelor",3,"$25000 or more",40,40,"Married",1,"Yes","Often","Very satisfied","Often","Very happy","Good",NA,NA
"504",2018,504,"White","Male",37,"W. sou. central","Below average","High school","Junior college",3,"$25000 or more",NA,NA,"Married",1,"No","Rarely","Very satisfied","Hardly ever","Very happy","Good",NA,NA
"505",2018,505,"Other","Male",38,"W. sou. central","Average","High school","Bachelor",2,"$25000 or more",NA,40,"Married",0,"","Often","Very satisfied","Hardly ever","Pretty happy","",15,60
"506",2018,506,"White","Male",84,"W. sou. central","Average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Pretty happy","Poor",NA,NA
"507",2018,507,"White","Male",66,"W. sou. central","Below average","Graduate","Bachelor",4,"$25000 or more",NA,NA,"Married",2,"","Rarely","Very satisfied","Sometimes","Very happy","",7,1
"508",2018,508,"Other","Female",29,"W. sou. central","Average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"Yes","Rarely","Very satisfied","Sometimes","Very happy","Fair",10,10
"509",2018,509,"White","Male",39,"W. sou. central","Below average","Graduate","Bachelor",4,"Refused",NA,NA,"Married",1,"No","Never","Somewhat satisfied","Sometimes","Pretty happy","Good",NA,NA
"510",2018,510,"Black","Female",33,"W. sou. central","Above average","Bachelor","Graduate",4,"$25000 or more",NA,NA,"Married",2,"","Rarely","Somewhat satisfied","Always","Pretty happy","",45,14
"511",2018,511,"Other","Female",68,"W. sou. central","Average","Graduate","",1,"$25000 or more",NA,NA,"Widowed",0,"No","Often","Somewhat satisfied","Never","Not too happy","Fair",NA,NA
"512",2018,512,"White","Female",70,"W. sou. central","Above average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",2,"No","Rarely","Very satisfied","Often","Very happy","Good",30,10
"513",2018,513,"White","Male",50,"W. sou. central","Average","Bachelor","Bachelor",3,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Pretty happy","Good",3,20
"514",2018,514,"White","Male",54,"W. sou. central","Above average","Bachelor","Graduate",2,"$25000 or more",NA,NA,"Married",2,"No","Sometimes","Somewhat satisfied","Often","Pretty happy","Good",30,2
"515",2018,515,"White","Male",45,"W. sou. central","Far below average","Bachelor","Graduate",4,"Refused",NA,NA,"Married",2,"No","","","No issp","Pretty happy","Good",0,3
"516",2018,516,"White","Female",48,"W. sou. central","Far below average","High school","Junior college",3,"Refused",NA,NA,"Married",1,"No","Often","Not too satisfied","Always","Pretty happy","Excellent",NA,NA
"517",2018,517,"White","Male",73,"W. sou. central","Below average","Bachelor","Graduate",2,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Very happy","Good",NA,NA
"518",2018,518,"White","Female",77,"W. sou. central","Below average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",1,"No","","","No issp","Very happy","Good",1,2
"519",2018,519,"White","Female",59,"W. sou. central","Below average","Bachelor","",1,"$25000 or more",NA,NA,"Widowed",1,"No","Often","Somewhat satisfied","Often","Pretty happy","Good",NA,NA
"520",2018,520,"White","Male",72,"W. sou. central","Below average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"","","","No issp","Pretty happy","",1,0
"521",2018,521,"White","Male",68,"W. sou. central","Above average","Bachelor","High school",2,"$25000 or more",NA,NA,"Married",6,"No","","","No issp","Pretty happy","Fair",NA,NA
"522",2018,522,"White","Female",60,"W. sou. central","Above average","High school","Bachelor",2,"$25000 or more",NA,NA,"Married",1,"","Often","Very satisfied","Sometimes","Very happy","",10,3
"523",2018,523,"White","Male",63,"W. sou. central","Average","High school","High school",3,"$25000 or more",NA,NA,"Married",3,"","Rarely","Very satisfied","Hardly ever","Very happy","",3,6
"524",2018,524,"White","Male",45,"W. sou. central","Above average","High school","",1,"$15000 - 19999",NA,NA,"Never married",0,"Yes","Sometimes","Not too satisfied","Often","Pretty happy","Fair",0,40
"525",2018,525,"White","Female",35,"W. sou. central","Above average","High school","Bachelor",6,"Refused",NA,NA,"Married",4,"Yes","Sometimes","Very satisfied","Hardly ever","Pretty happy","Good",NA,NA
"526",2018,526,"White","Female",22,"W. sou. central","Far below average","High school","",6,"$20000 - 24999",NA,NA,"Never married",2,"","","","No issp","Pretty happy","",4,8
"527",2018,527,"White","Female",36,"W. sou. central","Average","High school","High school",5,"Refused",NA,NA,"Married",3,"No","Rarely","Very satisfied","Hardly ever","Very happy","Good",1,5
"528",2018,528,"White","Female",76,"W. sou. central","Below average","High school","",2,"$8000 to 9999",NA,NA,"Widowed",4,"","Rarely","Somewhat satisfied","Sometimes","Pretty happy","",0,10
"529",2018,529,"White","Female",61,"W. sou. central","Average","High school","High school",3,"$25000 or more",NA,NA,"Married",2,"Yes","","","No issp","Pretty happy","Good",1,3
"530",2018,530,"White","Female",56,"W. sou. central","Below average","High school","",2,"$25000 or more",NA,NA,"Divorced",1,"Yes","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Fair",NA,NA
"531",2018,531,"Black","Female",26,"W. sou. central","Above average","High school","",1,"$3000 to 3999",NA,NA,"Never married",0,"No","Sometimes","Very satisfied","Hardly ever","Pretty happy","Fair",0,24
"532",2018,532,"Black","Male",59,"W. sou. central","Far below average","High school","",1,"$10000 - 14999",NA,NA,"Divorced",6,"","","","No issp","Not too happy","",10,20
"533",2018,533,"Black","Male",55,"W. sou. central","Average","High school","",1,"$25000 or more",NA,NA,"Never married",1,"","Never","Very satisfied","Never","Pretty happy","",5,30
"534",2018,534,"White","Male",57,"W. sou. central","Average","Graduate","High school",5,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Very satisfied","Hardly ever","Very happy","Good",NA,NA
"535",2018,535,"White","Female",59,"W. sou. central","Below average","High school","Bachelor",4,"Refused",NA,40,"Married",3,"No","","","No issp","Very happy","Good",0,2
"536",2018,536,"White","Female",33,"W. sou. central","Average","High school","Junior college",4,"$20000 - 24999",NA,NA,"Married",0,"No","Rarely","Somewhat satisfied","Hardly ever","Very happy","Excellent",NA,NA
"537",2018,537,"Other","Female",75,"W. sou. central","Don't know","Lt high school","",1,"Lt $1000",NA,NA,"Widowed",6,"","","","No issp","Not too happy","",NA,NA
"538",2018,538,"White","Male",61,"W. sou. central","Average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",2,"No","Rarely","Very satisfied","Sometimes","Pretty happy","Excellent",3,4
"539",2018,539,"White","Female",39,"W. sou. central","Average","High school","Junior college",5,"$25000 or more",NA,NA,"Married",3,"No","Often","Somewhat satisfied","Sometimes","Pretty happy","Fair",NA,NA
"540",2018,540,"White","Female",38,"W. sou. central","Below average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Somewhat satisfied","Often","Pretty happy","Good",10,10
"541",2018,541,"White","Female",49,"W. sou. central","Above average","Graduate","",4,"$25000 or more",NA,NA,"Divorced",2,"Yes","Rarely","Somewhat satisfied","Often","Not too happy","Good",NA,NA
"542",2018,542,"White","Male",71,"W. sou. central","Average","Bachelor","Graduate",2,"Refused",NA,NA,"Married",2,"","","","No issp","Pretty happy","",2,30
"543",2018,543,"Black","Male",47,"W. sou. central","Above average","Bachelor","",1,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Very satisfied","Hardly ever","Very happy","Good",1,10
"544",2018,544,"Other","Male",52,"W. sou. central","Below average","High school","Graduate",2,"Refused",NA,NA,"Married",4,"No","Often","Somewhat satisfied","Sometimes","Pretty happy","Excellent",NA,NA
"545",2018,545,"White","Female",35,"W. sou. central","Far below average","Junior college","",1,"$25000 or more",NA,NA,"Divorced",2,"","Often","Not too satisfied","Often","Pretty happy","",1,10
"546",2018,546,"White","Female",54,"W. sou. central","Below average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"Yes","","","No issp","Pretty happy","Poor",NA,NA
"547",2018,547,"White","Female",39,"W. sou. central","Below average","High school","Lt high school",2,"$20000 - 24999",NA,40,"Married",3,"No","","","No issp","Very happy","Fair",12,20
"548",2018,548,"Black","Male",70,"W. sou. central","Below average","Lt high school","",1,"$15000 - 19999",NA,NA,"Never married",2,"No","","","No issp","Pretty happy","Fair",NA,NA
"549",2018,549,"Black","Female",78,"W. sou. central","Far below average","Lt high school","",1,"Lt $1000",NA,NA,"Widowed",4,"Yes","","","No issp","Pretty happy","Fair",NA,NA
"550",2018,550,"White","Female",74,"South atlantic","Above average","Graduate","",1,"$25000 or more",NA,NA,"Divorced",2,"No","","","No issp","Very happy","Excellent",2,2
"551",2018,551,"White","Male",65,"South atlantic","Above average","Bachelor","Bachelor",2,"$25000 or more",NA,40,"Married",2,"No","Sometimes","Somewhat satisfied","Sometimes","Very happy","Excellent",3,25
"552",2018,552,"White","Male",61,"South atlantic","Average","High school","",1,"Refused",NA,NA,"Divorced",1,"","Often","Very satisfied","Often","Pretty happy","",10,16
"553",2018,553,"White","Female",53,"Middle atlantic","Below average","Bachelor","Bachelor",3,"$25000 or more",NA,NA,"Married",2,"No","Sometimes","Somewhat satisfied","Always","Pretty happy","Good",50,10
"554",2018,554,"Other","Female",21,"Middle atlantic","Average","High school","",6,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Never","Not too happy","Excellent",NA,NA
"555",2018,555,"White","Female",41,"Middle atlantic","Above average","Bachelor","Graduate",2,"$25000 or more",NA,NA,"Married",2,"","Rarely","Very satisfied","Often","Very happy","",10,10
"556",2018,556,"White","Female",62,"Middle atlantic","Average","Junior college","High school",2,"$25000 or more",NA,NA,"Married",4,"Yes","Sometimes","Very satisfied","Hardly ever","Very happy","Good",0,0
"557",2018,557,"White","Male",71,"Middle atlantic","Average","Bachelor","High school",2,"Refused",NA,NA,"Married",3,"","","","No issp","Very happy","",20,0
"558",2018,558,"White","Male",NA,"Middle atlantic","Don't know","Bachelor","",2,"$20000 - 24999",NA,NA,"Widowed",2,"No","","","No issp","Pretty happy","Good",NA,NA
"559",2018,559,"White","Male",66,"Middle atlantic","Above average","Bachelor","Bachelor",3,"$25000 or more",NA,NA,"Married",3,"","Rarely","Very satisfied","Sometimes","Pretty happy","",10,30
"560",2018,560,"White","Male",28,"Middle atlantic","Above average","Graduate","",3,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Often","Pretty happy","Excellent",NA,NA
"561",2018,561,"White","Female",85,"Middle atlantic","Below average","Graduate","",1,"$25000 or more",NA,NA,"Widowed",2,"","","","No issp","Pretty happy","",0,0
"562",2018,562,"White","Male",70,"Middle atlantic","Above average","High school","Graduate",2,"$25000 or more",NA,NA,"Married",2,"","Rarely","Very satisfied","Never","Very happy","",2,8
"563",2018,563,"Other","Female",29,"Middle atlantic","Below average","Bachelor","",2,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Good",30,24
"564",2018,564,"Other","Male",39,"Middle atlantic","Far below average","Bachelor","Bachelor",4,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Very satisfied","Sometimes","Very happy","Good",30,5
"565",2018,565,"White","Male",28,"Middle atlantic","Far above average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Good",NA,NA
"566",2018,566,"White","Female",74,"Middle atlantic","Average","Bachelor","",1,"$25000 or more",NA,NA,"Widowed",2,"Yes","","","No issp","Pretty happy","Good",NA,NA
"567",2018,567,"White","Female",53,"Middle atlantic","Below average","Bachelor","Bachelor",4,"$25000 or more",NA,NA,"Married",2,"","Never","Somewhat satisfied","Sometimes","Pretty happy","",1,4
"568",2018,568,"White","Male",66,"Middle atlantic","Below average","Graduate","",2,"$25000 or more",NA,NA,"Divorced",2,"No","","","No issp","Very happy","Excellent",0,15
"569",2018,569,"White","Male",67,"Middle atlantic","Above average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",3,"","Sometimes","Somewhat satisfied","Sometimes","Very happy","",40,15
"570",2018,570,"Other","Female",NA,"Middle atlantic","Average","Bachelor","High school",2,"Refused",NA,NA,"Married",0,"","Rarely","Very satisfied","Hardly ever","Pretty happy","",4,10
"571",2018,571,"White","Female",28,"Middle atlantic","Far below average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"","Often","Somewhat satisfied","Often","Not too happy","",1,0
"572",2018,572,"White","Female",23,"Middle atlantic","Above average","Bachelor","",2,"$25000 or more",NA,NA,"Never married",0,"Yes","Sometimes","Somewhat satisfied","Often","Pretty happy","Excellent",NA,NA
"573",2018,573,"White","Male",37,"Middle atlantic","Above average","Graduate","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"","Often","Very satisfied","Often","Not too happy","",3,15
"574",2018,574,"Black","Male",27,"Middle atlantic","Above average","High school","",1,"$25000 or more",NA,NA,"Never married",0,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Good",NA,NA
"575",2018,575,"Black","Female",32,"Middle atlantic","Below average","Junior college","",5,"$10000 - 14999",NA,NA,"Never married",3,"Yes","","","No issp","Not too happy","Poor",NA,NA
"576",2018,576,"Black","Female",40,"Middle atlantic","Far below average","High school","",2,"$15000 - 19999",NA,NA,"Divorced",6,"Yes","Sometimes","Very satisfied","Sometimes","Pretty happy","Fair",80,4
"577",2018,577,"White","Female",22,"Middle atlantic","Average","Bachelor","",3,"$25000 or more",NA,NA,"Never married",0,"Yes","","","No issp","Very happy","Excellent",NA,NA
"578",2018,578,"Black","Male",38,"Middle atlantic","Average","High school","",3,"$15000 - 19999",NA,NA,"Separated",1,"No","Never","Very satisfied","Sometimes","Pretty happy","Fair",NA,NA
"579",2018,579,"Black","Female",45,"Middle atlantic","Average","High school","",2,"$25000 or more",40,NA,"Never married",3,"","Often","Somewhat satisfied","Sometimes","Very happy","",10,24
"580",2018,580,"White","Male",63,"Middle atlantic","Average","High school","",1,"$15000 - 19999",NA,NA,"Divorced",1,"No","","","No issp","Not too happy","Fair",0,4
"581",2018,581,"White","Female",30,"Middle atlantic","Average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"","Sometimes","Not too satisfied","Often","Not too happy","",37,32
"582",2018,582,"White","Male",25,"Middle atlantic","Average","High school","",2,"$10000 - 14999",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Never","Pretty happy","Good",1,20
"583",2018,583,"Other","Female",44,"Middle atlantic","Above average","High school","",2,"$25000 or more",NA,NA,"Divorced",1,"Yes","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Fair",NA,NA
"584",2018,584,"White","Male",56,"Middle atlantic","Above average","High school","",2,"$10000 - 14999",NA,NA,"Never married",1,"","Sometimes","Somewhat satisfied","Always","Pretty happy","",NA,NA
"585",2018,585,"White","Female",45,"Middle atlantic","Average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"Yes","Often","Somewhat satisfied","Hardly ever","Pretty happy","Good",NA,NA
"586",2018,586,"Other","Female",27,"Middle atlantic","Below average","Lt high school","",4,"$8000 to 9999",NA,NA,"Never married",3,"","Sometimes","Very satisfied","Never","Pretty happy","",12,5
"587",2018,587,"Other","Male",53,"Middle atlantic","Below average","Bachelor","High school",4,"$25000 or more",NA,NA,"Married",2,"","Sometimes","Very satisfied","Sometimes","Very happy","",0,0
"588",2018,588,"Black","Female",66,"W. sou. central","Far below average","Junior college","",1,"$25000 or more",NA,NA,"Widowed",1,"","Sometimes","Very satisfied","Sometimes","Very happy","",10,10
"589",2018,589,"Black","Female",48,"W. sou. central","Below average","Bachelor","",3,"$25000 or more",NA,NA,"Divorced",3,"Yes","Often","Somewhat satisfied","Often","Pretty happy","Good",50,15
"590",2018,590,"Black","Female",50,"W. sou. central","Average","High school","High school",3,"$25000 or more",NA,NA,"Married",2,"","Sometimes","Somewhat satisfied","Sometimes","Very happy","",8,4
"591",2018,591,"Other","Female",18,"W. sou. central","Don't know","Lt high school","",5,"Don't know",NA,NA,"Never married",0,"","Rarely","Very satisfied","Hardly ever","Pretty happy","",20,48
"592",2018,592,"Black","Male",51,"W. sou. central","Average","Bachelor","",1,"$20000 - 24999",NA,NA,"Never married",1,"Yes","Rarely","Very satisfied","Hardly ever","Pretty happy","Good",NA,NA
"593",2018,593,"Black","Female",63,"W. sou. central","Far below average","High school","",1,"$25000 or more",NA,NA,"Divorced",4,"","Sometimes","Somewhat satisfied","Often","Very happy","",4,0
"594",2018,594,"Black","Female",57,"W. sou. central","Average","High school","Junior college",3,"$25000 or more",NA,NA,"Married",3,"Yes","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Excellent",NA,NA
"595",2018,595,"Black","Male",68,"W. sou. central","Far below average","Bachelor","",1,"$20000 - 24999",NA,NA,"Widowed",3,"","","","No issp","Not too happy","",NA,NA
"596",2018,596,"White","Male",64,"W. sou. central","Average","High school","Lt high school",2,"$25000 or more",NA,NA,"Married",1,"","Often","Very satisfied","Hardly ever","Very happy","",1,1
"597",2018,597,"Other","Male",26,"W. sou. central","Average","High school","",4,"$25000 or more",NA,NA,"Never married",1,"No","Rarely","Very satisfied","Sometimes","Pretty happy","Excellent",0,3
"598",2018,598,"White","Female",58,"W. sou. central","Below average","Junior college","Junior college",2,"Refused",NA,NA,"Married",0,"Yes","","","No issp","Very happy","Good",NA,NA
"599",2018,599,"Black","Female",53,"W. sou. central","Average","Graduate","Bachelor",1,"Refused",NA,NA,"Married",1,"","Sometimes","Not too satisfied","Often","Pretty happy","",35,5
"600",2018,600,"Other","Male",28,"W. sou. central","Far below average","High school","",2,"$15000 - 19999",NA,NA,"Never married",0,"","Rarely","Very satisfied","Hardly ever","Very happy","",0,2
"601",2018,601,"White","Female",30,"W. sou. central","Above average","Lt high school","Junior college",4,"$25000 or more",NA,NA,"Married",1,"Yes","","","No issp","Pretty happy","Poor",0,20
"602",2018,602,"White","Male",53,"W. sou. central","Above average","Junior college","High school",2,"$25000 or more",NA,NA,"Married",1,"","","","No issp","Very happy","",6,20
"603",2018,603,"White","Male",56,"W. sou. central","Above average","High school","High school",2,"$25000 or more",NA,NA,"Married",3,"","Sometimes","Very satisfied","Often","Pretty happy","",20,20
"604",2018,604,"White","Male",20,"W. sou. central","Far above average","High school","",4,"$8000 to 9999",NA,NA,"Never married",0,"No","","","No issp","Pretty happy","Good",0,3
"605",2018,605,"White","Female",64,"W. sou. central","Average","Bachelor","",1,"Refused",NA,NA,"Never married",0,"","","","No issp","Very happy","",1,8
"606",2018,606,"Other","Male",40,"W. sou. central","Far below average","High school","",2,"$25000 or more",NA,NA,"Never married",2,"No","","","No issp","Pretty happy","Poor",0,20
